"Player","Season","Age","Min","Gls","Ast","CrdY","CrdR","G+A","SoT","Cmp","Cmp%","KP","Prog","SCA","GCA","Tkl+Int","Clr","PPM","Team","League","Nationality","Position","player_foot","market_value","race"
"Roque Mesa","2020-2021",31,1761,1,0,4,1,5,4,7410,787,160,880,420,0,570,280,8,"Valladolid","Spain","Spain","Midfielder","right",2500000,0
"Ross Barkley","2017-2018",23,129,0,0,0,0,0,2,400,755,20,10,60,0,0,10,0,"Chelsea","England","England","Midfielder","right",2.5e+07,0
"Ross Barkley","2020-2021",26,42,0,0,0,0,0,1,220,846,10,20,30,0,0,0,15,"Chelsea","England","England","Midfielder","right",2e+09,0
"Ross Barkley","2018-2019",24,1245,3,5,1,0,58,9,8810,911,200,640,490,90,260,190,20,"Chelsea","England","England","Midfielder","right",3e+09,0
"Ross Barkley","2019-2020",25,1103,1,4,0,0,41,12,5400,877,250,480,470,50,220,120,205,"Chelsea","England","England","Midfielder","right",21500000,0
"Ross Barkley","2020-2021",26,1531,3,1,0,0,24,11,6190,810,390,760,750,50,110,80,108,"Aston Villa","England","England","Midfielder","right",2e+09,0
"Rouwen Hennings","2018-2019",30,1833,7,4,3,0,54,22,2920,661,260,480,500,80,150,170,141,"Düsseldorf","Germany","Germany","Forward","left",1500000,0
"Rouwen Hennings","2019-2020",31,2459,15,0,4,0,55,23,4300,695,260,360,530,40,150,340,94,"Düsseldorf","Germany","Germany","Forward","left",2e+08,0
"Ruben Aguilar","2017-2018",24,2459,0,3,2,0,11,5,11140,754,310,1250,600,60,1040,540,145,"Montpellier","France","France","Defender","right",6e+08,0
"Ruben Aguilar","2018-2019",25,2528,1,4,8,0,18,4,13280,809,460,1450,980,90,1230,480,152,"Montpellier","France","France","Defender","right",8e+08,0
"Ruben Aguilar","2019-2020",26,1072,0,2,2,2,17,3,6660,842,140,510,240,30,500,250,132,"Monaco","France","France","Defender","right",6500000,0
"Ruben Aguilar","2020-2021",27,2225,1,3,6,0,16,3,13170,824,440,940,720,80,1210,540,197,"Monaco","France","France","Defender","right",1.2e+07,0
"Rubén Alcaraz","2018-2019",27,2976,3,2,13,0,15,12,14350,821,200,1070,560,40,1320,620,118,"Valladolid","Spain","Spain","Midfielder","right",1e+09,0
"Rubén Alcaraz","2019-2020",28,1927,2,2,10,0,19,8,8310,785,140,720,440,40,750,680,115,"Valladolid","Spain","Spain","Midfielder","right",8e+08,0
"Rubén Alcaraz","2020-2021",29,2165,1,0,10,0,4,3,9620,831,90,710,220,20,840,380,9,"Valladolid","Spain","Spain","Midfielder","right",4e+08,0
"Rubén Castro","2017-2018",36,359,1,1,0,0,5,5,450,818,20,40,50,20,0,10,13,"Betis","Spain","Spain","Forward","right",5e+07,0
"Rúben Dias","2020-2021",23,2843,1,0,4,0,3,7,24990,935,30,1160,210,20,530,1180,231,"Manchester City","England","Portugal","Defender","right",7.5e+07,0
"Rubén Duarte","2019-2020",23,2663,0,1,11,0,3,8,9330,712,110,930,370,60,880,1280,113,"Alavés","Spain","Spain","Defender","left",4800000,0
"Rubén Duarte","2017-2018",21,2138,0,2,9,2,8,1,6600,685,180,620,340,20,840,510,142,"Alavés","Spain","Spain","Defender","left",2e+08,0
"Rubén Duarte","2018-2019",22,2772,0,0,10,1,0,7,8470,688,210,850,440,20,1060,1350,112,"Alavés","Spain","Spain","Defender","left",5e+08,0
"Rubén Duarte","2020-2021",24,2545,1,1,5,1,7,1,9340,708,260,1150,480,30,1030,1160,106,"Alavés","Spain","Spain","Defender","left",4e+08,0
"Ruben Gabrielsen","2019-2020",27,656,0,0,0,1,0,1,2340,842,10,80,20,0,130,550,13,"Toulouse","France","Norway","Defender","both",8e+07,0
"Rubén García","2019-2020",26,2188,8,2,6,0,41,19,7190,704,500,890,980,70,600,220,127,"Osasuna","Spain","Spain","Midfielder","left",6e+08,0
"Rubén García","2019-2020",26,2188,8,2,6,0,41,19,7190,704,500,890,980,70,600,220,127,"Osasuna","Spain","Spain","Midfielder","right",2e+07,0
"Rubén García","2020-2021",27,2718,3,5,2,0,26,7,8030,663,510,760,790,90,770,280,119,"Osasuna","Spain","Spain","Midfielder","left",1e+09,0
"Ruben Loftus-Cheek","2017-2018",21,1874,2,3,1,0,24,7,5980,814,230,750,640,70,560,310,133,"Crystal Palace","England","England","Midfielder","right",1.5e+07,1
"Ruben Loftus-Cheek","2017-2018",21,1874,2,3,1,0,24,7,5980,814,230,750,640,70,560,310,133,"Crystal Palace","England","England","Midfielder","right",1.5e+07,1
"Ruben Loftus-Cheek","2018-2019",22,998,6,2,0,0,72,8,5500,881,170,490,440,50,250,70,183,"Chelsea","England","England","Midfielder","right",3e+09,1
"Ruben Loftus-Cheek","2020-2021",24,60,0,0,0,0,0,0,110,688,0,10,10,0,10,0,30,"Chelsea","England","England","Forward","right",1.8e+07,1
"Ruben Loftus-Cheek","2019-2020",23,208,0,1,0,0,43,0,1160,885,10,80,20,10,0,30,214,"Chelsea","England","England","Midfielder","right",2.4e+07,1
