Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Lucas Höler;26;2089;4;4;5;0;34;13;4460;677;210;400;520;80;460;170;136;2020-2021;Freiburg;Germany;Germany;Forward
Lucas Leiva;33;2131;0;0;10;0;0;3;12950;869;60;1530;280;10;1150;460;178;2020-2021;Lazio;Italy;Brazil;Midfielder
Lucas Martínez Quarta;24;1483;1;0;4;1;6;5;6710;824;60;630;150;10;800;630;124;2020-2021;Fiorentina;Italy;Argentina;Defender
Lucas Moura;27;1411;3;4;1;0;45;6;4480;747;160;470;360;80;540;110;167;2020-2021;Tottenham;England;Brazil;Forward
Lucas Ocampos;26;2631;5;4;3;0;31;15;7630;764;300;650;790;90;740;320;20;2020-2021;Sevilla;Spain;Argentina;Forward
Lucas Olaza;26;1615;0;2;4;0;11;3;5010;737;140;430;290;20;520;420;133;2020-2021;Celta Vigo;Spain;Uruguay;Defender
Lucas Olaza;26;1260;1;1;4;0;14;2;7740;772;140;500;290;60;430;470;71;2020-2021;Valladolid;Spain;Uruguay;Defender
Lucas Paquetá;22;2275;9;5;6;1;55;23;10210;814;410;1880;890;150;980;180;21;2020-2021;Lyon;France;Brazil;Midfielder
Lucas Perrin;21;308;1;0;1;0;29;1;1540;928;10;130;40;0;140;170;129;2020-2021;Marseille;France;France;Defender
Lucas Pérez;31;1759;4;4;1;0;41;10;4130;618;520;580;880;100;190;40;107;2020-2021;Alavés;Spain;Spain;Forward
Lucas Torreira;24;518;1;0;2;0;17;1;2860;888;30;240;120;10;150;70;237;2020-2021;Atlético Madrid;Spain;Uruguay;Midfielder
Lucas Torró;26;1548;0;1;4;0;6;7;5290;784;60;390;240;40;600;580;14;2020-2021;Osasuna;Spain;Spain;Midfielder
Lucas Tousart;23;2090;1;0;7;0;4;6;6690;789;70;590;300;60;930;780;10;2020-2021;Hertha BSC;Germany;France;Midfielder
Lucas Vázquez;29;1848;2;5;3;0;34;8;12170;850;440;970;730;100;810;270;221;2020-2021;Real Madrid;Spain;Spain;Defender
Lucien Agoume;18;800;0;0;2;0;0;0;4430;897;20;360;60;20;340;140;108;2020-2021;Spezia;Italy;France;Midfielder
Ludovic Ajorque;26;2967;16;4;5;0;61;30;6450;711;340;600;680;80;450;470;12;2020-2021;Strasbourg;France;R�union;Forward
Ludovic Baal;34;296;0;0;0;0;0;0;2150;846;30;220;70;10;90;80;57;2020-2021;Brest;France;French Guiana;Defender
Ludovic Blas;22;2787;10;4;5;0;45;24;7710;795;290;910;750;100;880;190;108;2020-2021;Nantes;France;France;Midfielder
Ludwig Augustinsson;26;1957;0;4;4;0;18;6;7790;668;430;730;630;60;560;670;83;2020-2021;Werder Bremen;Germany;Sweden;Defender
Luis Alberto;27;2618;9;2;5;0;38;29;15200;783;820;2900;1440;50;640;120;182;2020-2021;Lazio;Italy;Spain;Midfielder
Luis Henrique;18;675;0;5;0;0;67;4;2280;773;160;180;280;60;150;70;184;2020-2021;Marseille;France;Brazil;Defender
Luis Javier Suárez;22;1666;5;1;6;0;32;16;1820;615;130;270;420;80;340;140;115;2020-2021;Granada;Spain;Colombia;Forward
Luis Milla;25;1253;1;1;1;0;14;3;4160;778;200;400;310;40;410;130;138;2020-2021;Granada;Spain;Spain;Midfielder
Luis Muriel;29;1436;22;7;0;0;182;36;5100;704;450;750;990;190;270;70;214;2020-2021;Atalanta;Italy;Colombia;Forward
Luis Pérez;25;1297;0;0;1;0;0;0;4340;694;70;370;110;0;570;550;86;2020-2021;Valladolid;Spain;Spain;Defender
Luis Rioja;26;2090;4;2;4;0;26;10;4360;670;250;400;510;100;560;390;91;2020-2021;Alavés;Spain;Spain;Midfielder
Luis Rojas;18;104;0;0;1;0;0;0;390;780;0;10;10;0;40;10;57;2020-2021;Crotone;Italy;Chile;Midfielder
Luis Suárez;33;2508;21;3;6;0;86;41;4440;736;270;390;660;100;180;140;219;2020-2021;Atlético Madrid;Spain;Uruguay;Forward
Luisinho;35;179;0;0;1;0;0;0;1000;840;0;80;20;0;50;100;8;2020-2021;Huesca;Spain;Portugal;Defender
Luismi;28;168;0;0;0;0;0;0;940;862;0;40;10;0;80;40;109;2020-2021;Elche;Spain;Spain;Midfielder
Luiz Araújo;24;1496;4;2;5;0;36;10;4630;758;220;640;500;50;530;40;218;2020-2021;Lille;France;Brazil;Midfielder
Luiz Felipe;23;909;0;0;5;0;0;0;5000;916;30;280;70;0;580;270;179;2020-2021;Lazio;Italy;Brazil;Defender
Luka Jović;22;149;0;0;0;0;0;1;340;829;20;0;40;0;0;0;15;2020-2021;Real Madrid;Spain;Serbia;Forward
Luka Jović;22;894;4;1;2;0;5;7;2280;781;50;340;150;30;50;40;189;2020-2021;Eint Frankfurt;Germany;Serbia;Forward
Luka Milivojević;29;2359;1;1;8;1;8;5;10290;811;200;1080;390;30;1110;500;123;2020-2021;Crystal Palace;England;Serbia;Midfielder
Luka Modrić;34;2733;5;3;4;0;26;15;20050;869;490;2190;950;70;930;170;214;2020-2021;Real Madrid;Spain;Croatia;Midfielder
Lukas Klostermann;24;1446;1;0;2;0;6;2;10190;884;40;790;210;10;450;530;20;2020-2021;RB Leipzig;Germany;Germany;Defender
Lukas Klünter;24;990;0;0;0;0;0;0;4080;768;30;280;80;30;250;470;10;2020-2021;Hertha BSC;Germany;Germany;Defender
Lukas Kübler;27;884;0;1;2;0;1;1;2810;671;40;340;100;10;370;340;158;2020-2021;Freiburg;Germany;Germany;Defender
Lukas Lerager;27;1159;0;1;0;0;8;2;4050;827;80;380;180;30;400;240;88;2020-2021;Genoa;Italy;Denmark;Midfielder
Lukas Petkov;19;4;0;0;0;0;0;0;10;1000;0;0;0;0;0;0;0;2020-2021;Augsburg;Germany;Germany;Midfielder
Luke Ayling;28;3399;0;0;7;0;0;6;21090;793;250;2030;490;40;1720;1110;155;2020-2021;Leeds United;England;England;Defender
Luke Shaw;25;2654;1;5;8;0;2;6;16450;816;710;1540;1110;110;900;540;184;2020-2021;Manchester Utd;England;England;Defender
Luke Thomas;19;969;1;0;2;0;9;3;3590;742;50;280;140;30;390;260;143;2020-2021;Leicester City;England;England;Defender
